8.526987612	-3.4914227829
8.8143903728	-3.628162154
9.1081796017	-3.7426752867
9.4084254796	-3.8384410605
9.7151981876	-3.9187979948
10.0285679065	-3.9845086161
10.3486048174	-4.0363302121
10.6753791012	-4.0754094646
11.008960939	-4.1026789593
11.3494205116	-4.1183387266
11.696828	-4.1222793804
12.0512535852	-4.1145837519
12.4127674482	-4.0957543771
12.78143977	-4.0674179488
13.1573407314	-4.0314267184
13.5405405135	-3.9894910601
13.9311092972	-3.9427977541
14.3291172636	-3.8916426043
14.7346345935	-3.8361068237
15.147731468	-3.7762907558
15.568478068	-3.7124077617

